,기업코드,회차,등록일,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
374,923826,제 12 기,20191121,2025592302 ,-13104479773 ,9971387024 
375,252135,제 23 기,20180329,56997175902 ,-15234538320 ,-24001050000 
376,127167,제 59 기,20180330,181007546 ,-20518881773 ,-4500821325 
377,153524,제 42 기,20180402,26289266404 ,-5211939724 ,-21863128755 
378,648721,제 10 기,20180314,-5579426260 ,6227623291 ,0 
379,106623,제 42 기,20180330,98720247871 ,-215959733436 ,229110618100 
380,128661,제 28 기,20180402,9575815758 ,12254640411 ,-17917506700 
381,266934,제 23 기,20180330,-15936985398 ,2577201215 ,-11247572144 
382,143907,제 41 기,20180330,-7610164966 ,-10787546274 ,16493716127 
383,409681,제 17 기,20180402,,,
384,244561,제 21 기,20180402,7851584935 ,-1423753741 ,-6422406134 
385,554024,제 18 기,20180402,-176371364077 ,-527348423203 ,865301331571 
386,496225,제 18 기,20180402,-992866120 ,-506549964 ,174483532 
387,144395,제 43 기,20180330,,,
388,128315,제 37 기,20180402,8907328957 ,-7976030442 ,4317080973 
389,238782,제 26 기,20180402,18699375184 ,-2415815669 ,-8846053553 
390,128412,제 50 기,20180402,37283674157 ,-8587496432 ,-18691357875 
391,475985,제 20 기,20180622,,-48954191272 ,49894073580 
392,352718,제 20 기,20191114,-8765279939 ,-15844972098 ,20452603429 
393,787376,제 9 기,20180402,47933833591 ,-37983237372 ,-9589040000 
394,623184,제 21 기,20190118,-5924678272 ,-47908607264 ,40074403340 
395,267881,제 49 기,20180621,-14314479259 ,-12726497315 ,1387500000 
396,513948,제 15 기,20180402,3254568881 ,-205489850 ,-994726685 
397,129679,제 49 기,20180618,46441288196 ,-17723631311 ,50228887500 
398,138297,제 42 기,20180330,93844000000 ,45598000000 ,-83177000000 
399,245898,제 23 기,20190628,254368167 ,-2795194935 ,4152706632 
